snapshotTime,snapshotTimeUTC,open_bid,open_ask,open_mid,high_bid,high_ask,high_mid,low_bid,low_ask,low_mid,close_bid,close_ask,close_mid,volume
2026-04-15T09:30:00,2026-04-15T07:30:00,158.945,158.957,158.951,158.96,158.972,158.966,158.899,158.911,158.905,158.923,158.935,158.929,602
2026-04-15T09:45:00,2026-04-15T07:45:00,158.924,158.936,158.93,158.961,158.973,158.967,158.892,158.904,158.898,158.925,158.937,158.931,755
2026-04-15T10:00:00,2026-04-15T08:00:00,158.926,158.938,158.932,158.933,158.945,158.939,158.714,158.726,158.72,158.769,158.781,158.775,1304
2026-04-15T10:15:00,2026-04-15T08:15:00,158.768,158.78,158.774,158.768,158.78,158.774,158.641,158.653,158.647,158.747,158.759,158.753,1054
2026-04-15T10:30:00,2026-04-15T08:30:00,158.748,158.76,158.754,158.822,158.834,158.828,158.747,158.759,158.753,158.755,158.767,158.761,714
2026-04-15T10:45:00,2026-04-15T08:45:00,158.754,158.766,158.76,158.788,158.8,158.794,158.754,158.766,158.76,158.77,158.782,158.776,657
2026-04-15T11:00:00,2026-04-15T09:00:00,158.771,158.783,158.777,158.912,158.924,158.918,158.712,158.724,158.718,158.861,158.873,158.867,1825
2026-04-15T11:15:00,2026-04-15T09:15:00,158.862,158.874,158.868,158.862,158.874,158.868,158.75,158.763,158.75650000000002,158.836,158.848,158.842,1153
2026-04-15T11:30:00,2026-04-15T09:30:00,158.837,158.849,158.843,158.884,158.896,158.89,158.82,158.832,158.826,158.851,158.863,158.857,744
2026-04-15T11:45:00,2026-04-15T09:45:00,158.853,158.865,158.859,158.93,158.942,158.936,158.849,158.861,158.855,158.893,158.905,158.899,840
2026-04-15T12:00:00,2026-04-15T10:00:00,158.892,158.904,158.898,158.91,158.922,158.916,158.824,158.836,158.83,158.862,158.874,158.868,838
2026-04-15T12:15:00,2026-04-15T10:15:00,158.863,158.875,158.869,159.022,159.034,159.028,158.862,158.874,158.868,158.999,159.011,159.005,1334
2026-04-15T12:30:00,2026-04-15T10:30:00,158.998,159.01,159.004,159.046,159.058,159.052,158.931,158.943,158.937,158.941,158.953,158.947,890
2026-04-15T12:45:00,2026-04-15T10:45:00,158.94,158.952,158.946,158.97,158.982,158.976,158.897,158.909,158.903,158.97,158.982,158.976,946
2026-04-15T13:00:00,2026-04-15T11:00:00,158.971,158.983,158.977,158.976,158.988,158.982,158.924,158.936,158.93,158.963,158.975,158.969,703
2026-04-15T13:15:00,2026-04-15T11:15:00,158.962,158.974,158.968,158.987,158.999,158.993,158.938,158.95,158.944,158.983,158.995,158.989,726
2026-04-15T13:30:00,2026-04-15T11:30:00,158.985,158.997,158.991,159.037,159.049,159.043,158.947,158.959,158.953,159.022,159.034,159.028,625
2026-04-15T13:45:00,2026-04-15T11:45:00,159.023,159.035,159.029,159.091,159.103,159.097,158.933,158.945,158.939,159.023,159.035,159.029,1218
2026-04-15T14:00:00,2026-04-15T12:00:00,159.024,159.036,159.03,159.136,159.148,159.142,159.023,159.035,159.029,159.135,159.147,159.141,1043
2026-04-15T14:15:00,2026-04-15T12:15:00,159.134,159.146,159.14,159.148,159.16,159.154,159.083,159.095,159.089,159.099,159.113,159.106,861
2026-04-15T14:30:00,2026-04-15T12:30:00,159.1,159.114,159.107,159.139,159.151,159.145,159.051,159.063,159.057,159.115,159.127,159.121,756
2026-04-15T14:45:00,2026-04-15T12:45:00,159.113,159.125,159.119,159.143,159.155,159.149,159.041,159.053,159.047,159.102,159.114,159.108,795
