618:GOLD       | BASKET_FILL | 2   | BUY  | 0.540000   | TRADEABLE | deal=006015...079e limit=4674.71 entry=4674.71
624:GOLD       | BASKET_PARTIAL_PENDING_KEEP | 1-3 | BUY  | --         | TRADEABLE | open=2 pending=1 age=406.9s reason=V24_3_5B_KEEP_REINFORCEMENTS_NO_AUTO_CANCEL
659:ETHUSD     | BASKET_FILL | 2   | SELL | 0.120000   | TRADEABLE | deal=001542...3a20 limit=2308.28 entry=2308.35
664:ETHUSD     | BASKET_PARTIAL_PENDING_KEEP | 1-3 | SELL | --         | TRADEABLE | open=2 pending=1 age=407.6s reason=V24_3_5B_KEEP_REINFORCEMENTS_NO_AUTO_CANCEL
860:US30       | BASKET_PENDING_CANCEL | 1-3 | SELL | --         | TRADEABLE | open=0 pending=3 age=349.4s max=300.0s reason=V24_PENDING_BASKET_EXPIRED_CANCEL
935:GOLD       | BASKET_PARTIAL_PENDING_KEEP | 1-3 | BUY  | --         | TRADEABLE | open=2 pending=1 age=476.4s reason=V24_3_5B_KEEP_REINFORCEMENTS_NO_AUTO_CANCEL
949:ETHUSD     | BASKET_PARTIAL_PENDING_KEEP | 1-3 | SELL | --         | TRADEABLE | open=2 pending=1 age=476.9s reason=V24_3_5B_KEEP_REINFORCEMENTS_NO_AUTO_CANCEL
1149:DE40       | BASKET_PENDING_CANCEL | 1-3 | SELL | --         | TRADEABLE | open=0 pending=3 age=357.3s max=300.0s reason=V24_PENDING_BASKET_EXPIRED_CANCEL
1183:ETHUSD     | BASKET_PARTIAL_PENDING_KEEP | 1-3 | SELL | --         | TRADEABLE | open=2 pending=1 age=589.4s reason=V24_3_5B_KEEP_REINFORCEMENTS_NO_AUTO_CANCEL
1457:ETHUSD     | BASKET_PARTIAL_PENDING_KEEP | 1-3 | SELL | --         | TRADEABLE | open=2 pending=1 age=705.7s reason=V24_3_5B_KEEP_REINFORCEMENTS_NO_AUTO_CANCEL
1666:UK100      | BASKET_PENDING_CANCEL | 1-3 | BUY  | --         | TRADEABLE | open=0 pending=3 age=324.7s max=300.0s reason=V24_PENDING_BASKET_EXPIRED_CANCEL
1671:GBPUSD     | BASKET_FILL | 3   | BUY  | 3600.000000 | TRADEABLE | deal=000070...2087 limit=1.34557 entry=1.34557
1672:GBPUSD     | BASKET_FILL | 2   | BUY  | 2400.000000 | TRADEABLE | deal=000070...2084 limit=1.34585 entry=1.34584
1679:GBPUSD     | BASKET_PARTIAL_PENDING_KEEP | 1-3 | BUY  | --         | TRADEABLE | open=2 pending=1 age=342.7s reason=V24_3_5B_KEEP_REINFORCEMENTS_NO_AUTO_CANCEL
